name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
2Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd9	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd10	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd11	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
2Rd12	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd8	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd9	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd10	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd11	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd12	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd13	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd14	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
4Rd15	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd1	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd2	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd3	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd4	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd5	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd6	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
6Rd7	SEEG	V	n/a	n/a	Rd	1024	depth	n/a
