name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LS1	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS2	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS3	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS4	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS5	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS6	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS7	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS8	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS9	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LS10	SEEG	V	n/a	n/a	LS	1000	depth	n/a
LM1	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM2	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM3	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM4	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM5	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM6	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM7	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM8	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM9	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LM10	SEEG	V	n/a	n/a	LM	1000	depth	n/a
LG1	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG2	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG3	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG4	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG5	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG6	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG7	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG8	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG9	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LG10	SEEG	V	n/a	n/a	LG	1000	depth	n/a
LL1	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL2	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL3	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL4	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL5	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL6	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL7	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL8	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL9	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LL10	SEEG	V	n/a	n/a	LL	1000	depth	n/a
LZ1	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ2	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ3	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ4	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ5	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ6	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ7	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ8	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ9	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LZ10	SEEG	V	n/a	n/a	LZ	1000	depth	n/a
LP1	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP2	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP3	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP4	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP5	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP6	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP7	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP8	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP9	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP10	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LX1	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX2	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX3	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX4	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX5	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX6	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX7	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX8	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX9	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LX10	SEEG	V	n/a	n/a	LX	1000	depth	n/a
LU1	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU2	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU3	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU4	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU5	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU6	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU7	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU8	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU9	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LU10	SEEG	V	n/a	n/a	LU	1000	depth	n/a
LB1	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB2	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB3	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB4	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB5	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB6	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB7	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB8	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB9	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LB10	SEEG	V	n/a	n/a	LB	1000	depth	n/a
LR1	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR2	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR3	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR4	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR5	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR6	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR7	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR8	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR9	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LR10	SEEG	V	n/a	n/a	LR	1000	depth	n/a
LQ1	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ2	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ3	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ4	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ5	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ6	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ7	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ8	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ9	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LQ10	SEEG	V	n/a	n/a	LQ	1000	depth	n/a
LW1	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW2	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW3	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW4	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW5	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW6	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW7	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LW8	SEEG	V	n/a	n/a	LW	1000	depth	n/a
LO1	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO2	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO3	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO4	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO5	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO6	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO7	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO8	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO9	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO10	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LY1	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY2	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY3	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY4	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY5	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY6	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY7	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY8	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY9	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY10	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY11	SEEG	V	n/a	n/a	LY	1000	depth	n/a
LY12	SEEG	V	n/a	n/a	LY	1000	depth	n/a
