name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LOFD1-LOFD2	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD2-LOFD3	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD3-LOFD4	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD4-LOFD5	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD5-LOFD6	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD6-LOFD7	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD7-LOFD8	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD8-LOFD9	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD10-LOFD11	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD10-LOFD9	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD11-LOFD12	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD12-LOFD13	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD13-LOFD14	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD14-LOFD15	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LOFD15-LOFD16	SEEG	V	n/a	n/a	bipolar	LOFD	512	depth	n/a
LCD1-LCD2	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD2-LCD3	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD3-LCD4	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD4-LCD5	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD5-LCD6	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD6-LCD7	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD7-LCD8	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD8-LCD9	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD10-LCD9	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD10-LCD11	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LCD11-LCD12	SEEG	V	n/a	n/a	bipolar	LCD	512	depth	n/a
LID1-LID2	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID2-LID3	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID3-LID4	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID4-LID5	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID5-LID6	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID6-LID7	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID7-LID8	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID8-LID9	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID10-LID11	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID10-LID9	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID11-LID12	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID12-LID13	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID13-LID14	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID14-LID15	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
RID1-RID2	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID2-RID3	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID3-RID4	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID4-RID5	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID5-RID6	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID6-RID7	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID7-RID8	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID8-RID9	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID10-RID9	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID10-RID11	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID11-RID12	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID12-RID13	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
RID13-RID14	SEEG	V	n/a	n/a	bipolar	RID	512	depth	n/a
