name	x	y	z	size	group	hemisphere	type	ind.region
LOFD1	-4.38418	37.6398	-24.2379348415034	-999	LOFD	L	depth	medialorbitofrontal
LOFD2	-5.53828	39.1343	-21.6997334089796	-999	LOFD	L	depth	medialorbitofrontal
LOFD3	-6.89566	41.1608	-18.5717258558525	-999	LOFD	L	depth	medialorbitofrontal
LOFD4	-7.95375	43.5309	-16.3280932631776	-999	LOFD	L	depth	medialorbitofrontal
LOFD5	-9.34425	45.9128	-15.5266287339141	-999	LOFD	L	depth	medialorbitofrontal
LOFD6	-11.1239	47.3788	-14.4829053412821	-999	LOFD	L	depth	medialorbitofrontal
LOFD7	-12.713	48.8714	-13.2394611167166	-999	LOFD	L	depth	medialorbitofrontal
LOFD8	-15.6644	49.5772	-10.4688500800935	-999	LOFD	L	depth	medialorbitofrontal
LOFD9	-18.197	49.9712	-7.50011704389806	-999	LOFD	L	depth	medialorbitofrontal
LOFD10	-20.4882	50.8543	-4.85881619929737	-999	LOFD	L	depth	rostralmiddlefrontal
LOFD11	-20.9952	51.5224	-1.57265726496498	-999	LOFD	L	depth	rostralmiddlefrontal
LOFD12	-22.5139	52.891	2.16602549008647	-999	LOFD	L	depth	rostralmiddlefrontal
LOFD13	-25.5416	53.966	5.12992187780181	-999	LOFD	L	depth	rostralmiddlefrontal
LOFD14	-27.6131	54.9619	8.6976473263742	-999	LOFD	L	depth	rostralmiddlefrontal
LOFD15	-30.6638	55.711	12.8994887768038	-999	LOFD	L	depth	rostralmiddlefrontal
LOFD16	-33.3223	56.3229	14.9290301863244	-999	LOFD	L	depth	rostralmiddlefrontal
LCD1	-5.67974	32.5644	20.0354080412303	-999	LCD	L	depth	caudalanteriorcingulate
LCD2	-9.17412	33.0927	20.1947338410567	-999	LCD	L	depth	caudalanteriorcingulate
LCD3	-13.9354	34.7128	21.1995716056115	-999	LCD	L	depth	superiorfrontal
LCD4	-17.5367	35.2796	20.8466120059312	-999	LCD	L	depth	superiorfrontal
LCD5	-22.056	36.1524	20.3222668127688	-999	LCD	L	depth	rostralmiddlefrontal
LCD6	-26.3623	37.4147	20.2811471219781	-999	LCD	L	depth	rostralmiddlefrontal
LCD7	-30.2652	38.4651	21.5446334467768	-999	LCD	L	depth	rostralmiddlefrontal
LCD8	-35.1932	38.6386	21.6428644543296	-999	LCD	L	depth	rostralmiddlefrontal
LCD9	-39.2025	37.45	22.7969408750786	-999	LCD	L	depth	rostralmiddlefrontal
LCD10	-42.9479	37.077	22.4061399524518	-999	LCD	L	depth	rostralmiddlefrontal
LCD11	-45.8554	37.3568	22.4296916969158	-999	LCD	L	depth	rostralmiddlefrontal
LCD12	-48.8872	38.4467	22.0006179130814	-999	LCD	L	depth	rostralmiddlefrontal
LID1	-42.232	5.85292	-18.6243035960084	-999	LID	L	depth	superiortemporal
LID2	-41.954	6.19198	-15.7178408255485	-999	LID	L	depth	insula
LID3	-40.8401	5.72797	-11.4288639929218	-999	LID	L	depth	insula
LID4	-39.985	5.36648	-7.01479229509345	-999	LID	L	depth	insula
