name	x	y	z	size	group	hemisphere	type	ind.region
A'1	-16.0388	-3.43265	-35.437871375412	-999	A	L	depth	insula
A'2	-18.5681	-3.42079	-36.7624162302141	-999	A	L	depth	entorhinal
A'3	-20.8958	-3.40542	-36.6859668732799	-999	A	L	depth	entorhinal
A'4	-26.8724	-2.37914	-34.3668675781548	-999	A	L	depth	entorhinal
A'5	-29.501	-3.17925	-35.3634094217472	-999	A	L	depth	entorhinal
A'6	-32.8532	-4.29094	-36.7597999527192	-999	A	L	depth	fusiform
A'7	-38.0406	-5.55279	-38.3231955194217	-999	A	L	depth	fusiform
A'8	-42.2501	-6.12747	-39.2369895408297	-999	A	L	depth	inferiortemporal
A'9	-46.9493	-5.50003	-39.1305435433069	-999	A	L	depth	inferiortemporal
A'10	-51.2938	-5.02619	-38.6458502444344	-999	A	L	depth	inferiortemporal
A'11	-55.0488	-4.34239	-38.1001375050714	-999	A	L	depth	inferiortemporal
A'12	-62.1231	-1.976	-38.7485617897448	-999	A	L	depth	inferiortemporal
B'1	-16.2878	-6.19327	-28.1325521395687	-999	B	L	depth	insula
B'2	-19.5477	-5.77311	-26.953042402927	-999	B	L	depth	insula
B'3	-22.2017	-5.3439	-27.2799261701509	-999	B	L	depth	insula
B'4	-26.0023	-4.55254	-26.834570643315	-999	B	L	depth	insula
B'5	-30.4436	-3.87296	-27.6384097111439	-999	B	L	depth	insula
B'6	-35.6202	-3.26815	-28.6104834630247	-999	B	L	depth	insula
B'7	-38.8455	-4.52601	-27.2507649343785	-999	B	L	depth	insula
B'8	-40.7895	-5.44727	-27.2762194632327	-999	B	L	depth	fusiform
B'9	-43.6831	-4.50717	-25.2079352581977	-999	B	L	depth	fusiform
B'10	-46.4589	-2.60359	-22.5404145869661	-999	B	L	depth	superiortemporal
B'11	-50.7582	-2.09246	-20.7572897752305	-999	B	L	depth	superiortemporal
B'12	-53.6125	-2.5828	-20.9505937354051	-999	B	L	depth	middletemporal
B'13	-58.3721	-2.47595	-20.2936309258471	-999	B	L	depth	middletemporal
B'14	-61.3554	-2.08964	-20.1134680589721	-999	B	L	depth	middletemporal
B'15	-64.9324	-2.20484	-20.629439999694	-999	B	L	depth	middletemporal
E'1	-20.0994	7.50395	-59.5655855861991	-999	E	L	depth	temporalpole
E'2	-22.7368	7.50237	-57.8893800406163	-999	E	L	depth	temporalpole
E'3	-25.6931	7.94836	-55.3007108886417	-999	E	L	depth	temporalpole
E'4	-28.74	7.71289	-53.9889111158121	-999	E	L	depth	temporalpole
E'5	-32.0935	8.33514	-52.6253540172409	-999	E	L	depth	temporalpole
E'6	-34.4043	7.73984	-48.5367230531268	-999	E	L	depth	temporalpole
E'7	-36.7578	8.21072	-45.5539341075237	-999	E	L	depth	inferiortemporal
E'8	-41.9575	10.9136	-40.692385323176	-999	E	L	depth	inferiortemporal
E'9	-45.6507	14.39	-37.6437214517771	-999	E	L	depth	middletemporal
E'10	-48.398	15.0391	-34.4166572983288	-999	E	L	depth	middletemporal
E'11	-51.0188	13.8638	-31.548785034014	-999	E	L	depth	middletemporal
E'12	-53.6994	13.2771	-29.0354268777668	-999	E	L	depth	middletemporal
E'13	-56.2015	13.5321	-25.3866662788571	-999	E	L	depth	middletemporal
E'14	-59.0133	14.2136	-23.4174093406448	-999	E	L	depth	middletemporal
E'15	-61.8986	13.7318	-21.3398197373696	-999	E	L	depth	superiortemporal
E'16	-63.4116	13.4813	-20.8957717568327	-999	E	L	depth	superiortemporal
E'17	-66.795	14.1641	-18.0622771864479	-999	E	L	depth	superiortemporal
E'18	-68.3407	13.5863	-17.3542817223655	-999	E	L	depth	superiortemporal
F'1	-31.0233	15.3516	-62.4115900715717	-999	F	L	depth	temporalpole
F'2	-33.8598	14.9662	-60.6154311698215	-999	F	L	depth	temporalpole
F'3	-36.7269	14.0159	-58.7206939286378	-999	F	L	depth	temporalpole
F'4	-40.1661	13.5501	-56.6916348394557	-999	F	L	depth	inferiortemporal
F'5	-43.6085	12.5031	-54.4448019713913	-999	F	L	depth	inferiortemporal
F'6	-46.5224	12.233	-52.197561191467	-999	F	L	depth	inferiortemporal
F'7	-49.654	11.2142	-51.2780241530548	-999	F	L	depth	inferiortemporal
F'8	-52.3634	10.9057	-49.1982172235782	-999	F	L	depth	inferiortemporal
F'9	-55.7609	9.77592	-47.2751701984634	-999	F	L	depth	middletemporal
F'10	-58.628	8.73396	-44.2050531380901	-999	F	L	depth	middletemporal
G'1	-16.3282	-8.71588	-44.3916193115259	-999	G	L	depth	entorhinal
G'2	-19.0809	-8.56785	-45.8602737403773	-999	G	L	depth	entorhinal
G'3	-22.1448	-8.79152	-45.886134453959	-999	G	L	depth	fusiform
G'4	-26.2964	-7.95282	-44.5385465255027	-999	G	L	depth	fusiform
G'5	-30.8565	-8.02209	-44.5011636838781	-999	G	L	depth	fusiform
G'6	-35.4064	-8.28406	-45.2310412629828	-999	G	L	depth	fusiform
G'7	-39.6477	-9.40706	-45.9718690630336	-999	G	L	depth	fusiform
G'8	-43.4462	-9.58962	-46.221996726053	-999	G	L	depth	inferiortemporal
G'9	-46.8807	-9.83504	-45.6913855325521	-999	G	L	depth	inferiortemporal
G'10	-50.3885	-9.65245	-45.4206405416907	-999	G	L	depth	inferiortemporal
G'11	-53.618	-9.71476	-45.2506133935668	-999	G	L	depth	inferiortemporal
G'12	-57.7132	-9.78533	-45.4087337248907	-999	G	L	depth	inferiortemporal
H'1	-20.6833	-14.4705	-37.2556500612072	-999	H	L	depth	entorhinal
H'2	-24.4439	-14.0011	-37.2393925666466	-999	H	L	depth	entorhinal
H'3	-27.4588	-14.4247	-37.9456247418075	-999	H	L	depth	entorhinal
H'4	-31.7707	-15.4189	-37.5762461510355	-999	H	L	depth	entorhinal
H'5	-37.2788	-16.6047	-36.7216842960505	-999	H	L	depth	entorhinal
H'6	-41.3087	-17.1082	-35.8486038279156	-999	H	L	depth	entorhinal
H'7	-43.9284	-17.003	-34.7456005971948	-999	H	L	depth	inferiortemporal
H'8	-45.6907	-16.6142	-33.3738546021964	-999	H	L	depth	inferiortemporal
H'9	-48.1894	-16.3518	-31.6657493678909	-999	H	L	depth	inferiortemporal
H'10	-51.1936	-16.0854	-29.912762247616	-999	H	L	depth	inferiortemporal
H'11	-54.4939	-16.5326	-29.6752679066288	-999	H	L	depth	inferiortemporal
H'12	-56.7596	-16.3803	-28.9701601623134	-999	H	L	depth	inferiortemporal
H'13	-61.9264	-15.9841	-27.9981660192911	-999	H	L	depth	inferiortemporal
H'14	-65.0107	-15.5582	-26.6489948592369	-999	H	L	depth	inferiortemporal
H'15	-68.3903	-15.4322	-26.1183312743544	-999	H	L	depth	inferiortemporal
I'1	-21.8461	-20.9927	-27.3174394798008	-999	I	L	depth	parahippocampal
I'2	-25.5249	-21.2448	-28.6582123063615	-999	I	L	depth	parahippocampal
I'3	-29.6457	-21.5441	-29.5784148794432	-999	I	L	depth	parahippocampal
I'4	-34.4079	-21.0977	-30.9095074762479	-999	I	L	depth	parahippocampal
I'5	-38.7723	-22.265	-32.1059707569537	-999	I	L	depth	fusiform
I'6	-42.1553	-22.6743	-31.8069579991473	-999	I	L	depth	fusiform
I'7	-44.49	-22.9139	-30.0643616264787	-999	I	L	depth	inferiortemporal
I'8	-47.2256	-22.7085	-28.9687006328625	-999	I	L	depth	inferiortemporal
I'9	-50.0771	-22.4209	-27.6868376239136	-999	I	L	depth	inferiortemporal
I'10	-53.3677	-23.2566	-27.0904083967957	-999	I	L	depth	inferiortemporal
I'11	-56.8482	-23.607	-27.6437331981885	-999	I	L	depth	inferiortemporal
I'12	-60.3536	-23.2322	-28.1512385297663	-999	I	L	depth	inferiortemporal
J'1	-28.6702	-28.3934	-24.1986245976799	-999	J	L	depth	fusiform
J'2	-32.6443	-29.1365	-26.4808561184092	-999	J	L	depth	fusiform
J'3	-36.5458	-29.8872	-26.8387241000051	-999	J	L	depth	fusiform
J'4	-39.6866	-29.8826	-26.4615479324349	-999	J	L	depth	fusiform
J'5	-44.1745	-31.684	-25.9857688630847	-999	J	L	depth	fusiform
J'6	-47.911	-31.1658	-25.101521514531	-999	J	L	depth	inferiortemporal
J'7	-51.5662	-31.7564	-24.7556079172494	-999	J	L	depth	inferiortemporal
J'8	-55.0304	-32.5148	-25.2772003093617	-999	J	L	depth	inferiortemporal
J'9	-57.4773	-31.9024	-26.5608435948315	-999	J	L	depth	inferiortemporal
J'10	-60.3677	-31.753	-26.7796961080423	-999	J	L	depth	inferiortemporal
J'11	-62.9151	-31.1211	-27.7012035495483	-999	J	L	depth	inferiortemporal
J'12	-66.8968	-31.851	-29.1041238279622	-999	J	L	depth	inferiortemporal
K'1	-23.1985	-10.0811	-60.2722926047023	-999	K	L	depth	fusiform
K'2	-26.2243	-9.71805	-59.7085460341574	-999	K	L	depth	fusiform
K'3	-30.6532	-8.93156	-59.242291367609	-999	K	L	depth	fusiform
K'4	-33.5625	-8.64324	-59.5521052590204	-999	K	L	depth	fusiform
K'5	-38.1251	-8.8926	-58.808485021011	-999	K	L	depth	fusiform
K'6	-42.2046	-8.09485	-58.1911250554383	-999	K	L	depth	fusiform
K'7	-46.1334	-7.26584	-57.5345555799077	-999	K	L	depth	inferiortemporal
K'8	-48.5104	-7.42982	-57.5969618460049	-999	K	L	depth	inferiortemporal
L'1	-28.8834	-17.9738	-48.6095170448103	-999	L	L	depth	fusiform
L'2	-32.1098	-17.787	-48.7051174300875	-999	L	L	depth	fusiform
L'3	-36.6365	-18.228	-47.7174965327772	-999	L	L	depth	fusiform
L'4	-39.8266	-18.2884	-47.8055848179545	-999	L	L	depth	fusiform
L'5	-43.5264	-18.9054	-46.6983959887723	-999	L	L	depth	inferiortemporal
L'6	-46.8715	-19.2739	-46.2634737800886	-999	L	L	depth	inferiortemporal
L'7	-50.3372	-18.8089	-44.4919591388284	-999	L	L	depth	inferiortemporal
L'8	-53.5379	-18.748	-43.8075555244798	-999	L	L	depth	inferiortemporal
L'9	-57.7215	-17.8545	-44.1605651649936	-999	L	L	depth	inferiortemporal
L'10	-60.6322	-18.381	-43.3330414367328	-999	L	L	depth	inferiortemporal
M'1	-24.7841	6.43456	-53.0755321884779	-999	M	L	depth	temporalpole
M'2	-23.8864	3.59167	-48.1364960182906	-999	M	L	depth	fusiform
M'3	-23.3614	1.28416	-45.364728658794	-999	M	L	depth	fusiform
M'4	-23.5798	-1.11163	-41.4156876220945	-999	M	L	depth	entorhinal
M'5	-23.7946	-2.4766	-38.8046873554968	-999	M	L	depth	entorhinal
M'6	-24.7907	-5.18828	-35.0908987229407	-999	M	L	depth	entorhinal
M'7	-26.8361	-8.87314	-30.4754003976001	-999	M	L	depth	insula
M'8	-30.2233	-13.5383	-27.7681516382708	-999	M	L	depth	insula
M'9	-31.3522	-15.7512	-24.8706017427928	-999	M	L	depth	insula
M'10	-30.646	-18.5282	-20.2947315322956	-999	M	L	depth	insula
M'11	-30.6016	-21.779	-16.0379499662441	-999	M	L	depth	insula
M'12	-30.1992	-27.5002	-11.0731094927774	-999	M	L	depth	insula
M'13	-30.4421	-31.3756	-9.33935148222942	-999	M	L	depth	parahippocampal
M'14	-30.4752	-34.4428	-5.33429647188869	-999	M	L	depth	parahippocampal
M'15	-30.3913	-38.4287	-2.66147612745734	-999	M	L	depth	parahippocampal
M'16	-30.506	-40.4118	1.01510640308416	-999	M	L	depth	parahippocampal
M'17	-30.2789	-42.3312	5.6248437247761	-999	M	L	depth	lingual
M'18	-31.4241	-44.8373	10.9819330246802	-999	M	L	depth	inferiorparietal
N'1	-38.453	11.0162	-23.0127045463311	-999	N	L	depth	superiortemporal
N'2	-42.3863	12.2956	-21.6497432232492	-999	N	L	depth	superiortemporal
N'3	-46.7741	12.9976	-20.7895738107342	-999	N	L	depth	superiortemporal
N'4	-49.613	13.2693	-20.1720816091168	-999	N	L	depth	superiortemporal
N'5	-52.7961	13.6955	-17.0492751289457	-999	N	L	depth	superiortemporal
N'6	-55.4082	14.393	-16.1580921277112	-999	N	L	depth	superiortemporal
N'7	-57.8361	14.7004	-14.4835370580969	-999	N	L	depth	superiortemporal
N'8	-60.0674	15.6882	-14.0281370601107	-999	N	L	depth	superiortemporal
N'9	-63.2696	16.6769	-12.7012450942086	-999	N	L	depth	superiortemporal
N'10	-66.0425	17.6783	-11.325187122638	-999	N	L	depth	superiortemporal
O'1	-8.13661	27.0981	19.4109293676481	-999	O	L	depth	caudalanteriorcingulate
O'2	-11.7156	27.4164	19.6944408776818	-999	O	L	depth	superiorfrontal
O'3	-14.8487	27.2499	19.4061508130363	-999	O	L	depth	superiorfrontal
O'4	-17.2085	27.9161	18.4266499854617	-999	O	L	depth	superiorfrontal
O'5	-19.689	28.4833	19.0268063904783	-999	O	L	depth	superiorfrontal
O'6	-22.7731	29.6612	19.7289399618252	-999	O	L	depth	rostralmiddlefrontal
O'7	-26.86	30.4499	20.6275746331581	-999	O	L	depth	rostralmiddlefrontal
