name	x	y	z	size	group	hemisphere	type	ind.region
LR1	-29.6169	-26.2052	-22.2863006622385	5.024	LR	L	depth	fusiform
LR2	-33.5801	-26.37	-23.4237170166707	5.024	LR	L	depth	fusiform
LR3	-36.9076	-25.7137	-22.3596191267243	5.024	LR	L	depth	fusiform
LR4	-39.2583	-25.025	-21.6735043438569	5.024	LR	L	depth	fusiform
LR5	-42.2952	-25.1863	-22.5923238569383	5.024	LR	L	depth	fusiform
LR6	-45.5578	-24.7644	-21.9150202472306	5.024	LR	L	depth	inferiortemporal
LR7	-48.0929	-24.9166	-21.8469568979052	5.024	LR	L	depth	inferiortemporal
LR8	-50.205	-23.9634	-21.4502740118627	5.024	LR	L	depth	inferiortemporal
LR9	-52.3562	-23.4518	-20.5407831213618	5.024	LR	L	depth	inferiortemporal
LR10	-56.6362	-22.7014	-20.7981532558729	5.024	LR	L	depth	middletemporal
LR11	-61.8443	-22.9402	-19.7201562880721	5.024	LR	L	depth	middletemporal
LR12	-65.5438	-23.1709	-19.6590663262308	5.024	LR	L	depth	middletemporal
LA1	-18.2897	3.57024	-20.4382161800701	5.024	LA	L	depth	insula
LA2	-21.2685	3.93095	-20.436538147464	5.024	LA	L	depth	insula
LA3	-24.0438	3.49765	-21.7710748740766	5.024	LA	L	depth	insula
LA4	-27.4184	3.63233	-21.8223969967997	5.024	LA	L	depth	insula
LA5	-31.0291	3.89433	-21.7698282038296	5.024	LA	L	depth	insula
LA6	-34.6526	3.77849	-22.830651694088	5.024	LA	L	depth	insula
LA7	-37.6922	4.62398	-22.4439092142181	5.024	LA	L	depth	insula
LA8	-40.3939	5.44149	-22.0099141306436	5.024	LA	L	depth	superiortemporal
LA9	-43.2215	5.51223	-22.3422213112018	5.024	LA	L	depth	superiortemporal
LA10	-45.689	5.34063	-21.380162352282	5.024	LA	L	depth	superiortemporal
LA11	-50.1902	5.79902	-21.8451001794842	5.024	LA	L	depth	superiortemporal
LA12	-56.3733	4.83458	-23.5111790029078	5.024	LA	L	depth	middletemporal
LB1	-22.5552	-6.5214	-19.7704130795695	5.024	LB	L	depth	insula
LB2	-25.4986	-6.02564	-20.0538884149634	5.024	LB	L	depth	insula
LB3	-28.6077	-6.27525	-21.4442723464449	5.024	LB	L	depth	insula
LB4	-32.1403	-5.97317	-22.7769679179325	5.024	LB	L	depth	insula
LB5	-35.843	-5.3036	-24.2621840850271	5.024	LB	L	depth	insula
LB6	-39.2587	-4.64912	-23.8454812977893	5.024	LB	L	depth	insula
LB7	-41.6831	-4.82101	-25.4509675621866	5.024	LB	L	depth	insula
LB8	-44.3077	-5.45709	-26.2009705353502	5.024	LB	L	depth	fusiform
LB9	-47.1136	-5.5398	-26.8821788505475	5.024	LB	L	depth	middletemporal
LB10	-50.7484	-5.38516	-26.2933608303556	5.024	LB	L	depth	middletemporal
