name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LP1	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP2	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP3	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP4	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP5	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP6	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP7	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP8	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP9	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP10	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP11	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP12	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP13	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP14	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LP15	SEEG	V	n/a	n/a	LP	1000	depth	n/a
LAN1	SEEG	V	n/a	n/a	LAN	1000	depth	n/a
LAN2	SEEG	V	n/a	n/a	LAN	1000	depth	n/a
LAN3	SEEG	V	n/a	n/a	LAN	1000	depth	n/a
LAN4	SEEG	V	n/a	n/a	LAN	1000	depth	n/a
LAN5	SEEG	V	n/a	n/a	LAN	1000	depth	n/a
LMT1	SEEG	V	n/a	n/a	LMT	1000	depth	n/a
LMT2	SEEG	V	n/a	n/a	LMT	1000	depth	n/a
LMT3	SEEG	V	n/a	n/a	LMT	1000	depth	n/a
LMT4	SEEG	V	n/a	n/a	LMT	1000	depth	n/a
LMT5	SEEG	V	n/a	n/a	LMT	1000	depth	n/a
LIT1	SEEG	V	n/a	n/a	LIT	1000	depth	n/a
LIT2	SEEG	V	n/a	n/a	LIT	1000	depth	n/a
LIT3	SEEG	V	n/a	n/a	LIT	1000	depth	n/a
LIT4	SEEG	V	n/a	n/a	LIT	1000	depth	n/a
LIT5	SEEG	V	n/a	n/a	LIT	1000	depth	n/a
LSTA1	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA2	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA3	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA4	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA5	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA6	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA7	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTA8	SEEG	V	n/a	n/a	LSTA	1000	depth	n/a
LSTB1	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB2	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB3	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB4	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB5	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB6	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB7	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LSTB8	SEEG	V	n/a	n/a	LSTB	1000	depth	n/a
LO1	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO2	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO3	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO4	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO5	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO6	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO7	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO8	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO9	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO10	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO11	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LO12	SEEG	V	n/a	n/a	LO	1000	depth	n/a
LSTC1	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC2	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC3	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC4	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC5	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC6	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC7	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LSTC8	SEEG	V	n/a	n/a	LSTC	1000	depth	n/a
LI1	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI2	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI3	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI4	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI5	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI6	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI7	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI8	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI9	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI10	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI11	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI12	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI13	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI14	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI15	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI16	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI17	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LI18	SEEG	V	n/a	n/a	LI	1000	depth	n/a
LJ1	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ2	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ3	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ4	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ5	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ6	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ7	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ8	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ9	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ10	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ11	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ12	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ13	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ14	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ15	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ16	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ17	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LJ18	SEEG	V	n/a	n/a	LJ	1000	depth	n/a
LK1	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK2	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK3	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK4	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK5	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK6	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK7	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK8	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK9	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK10	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK11	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK12	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK13	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK14	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK15	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK16	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK17	SEEG	V	n/a	n/a	LK	1000	depth	n/a
LK18	SEEG	V	n/a	n/a	LK	1000	depth	n/a
