name	x	y	z	size	group	hemisphere	type	ind.region
LB1	-27.9054	-12.2296	-23.2254987543294	6.184	LB	L	depth	insula
LB2	-32.7876	-14.2441	-26.6448251117822	6.184	LB	L	depth	insula
LB3	-36.7245	-14.8109	-28.2335969055789	6.184	LB	L	depth	parahippocampal
LB4	-41.2212	-14.1916	-26.36673682457	6.184	LB	L	depth	inferiortemporal
LB5	-46.6138	-14.8203	-26.1343244775274	6.184	LB	L	depth	inferiortemporal
LB6	-51.5285	-16.2154	-25.7175271801739	6.184	LB	L	depth	middletemporal
LB7	-58.531	-16.093	-26.1794423938695	6.184	LB	L	depth	middletemporal
LB8	-63.8997	-15.4072	-25.9431400082068	6.184	LB	L	depth	middletemporal
LB9	-68.4625	-15.4954	-25.259464090613	6.184	LB	L	depth	middletemporal
LB10	-74.3381	-15.7871	-25.7646626325234	6.184	LB	L	depth	middletemporal
LC1	-30.6459	-19.3579	-19.9309550519764	6.184	LC	L	depth	insula
LC2	-35.1572	-19.7241	-20.3588368942328	6.184	LC	L	depth	insula
LC3	-40.0848	-19.4986	-20.0181982987665	6.184	LC	L	depth	insula
LC4	-44.5309	-19.2884	-19.5188678516778	6.184	LC	L	depth	inferiortemporal
LC5	-49.1827	-18.2869	-18.4964839943203	6.184	LC	L	depth	middletemporal
LC6	-56.3828	-18.3767	-17.4812205268345	6.184	LC	L	depth	middletemporal
LC7	-63.4197	-17.71	-17.948376509813	6.184	LC	L	depth	middletemporal
LC8	-69.81	-17.2716	-16.7971021942788	6.184	LC	L	depth	middletemporal
LC9	-73.483	-16.8157	-16.340446342536	6.184	LC	L	depth	middletemporal
LC10	-78.9352	-16.1455	-16.1201874945204	6.184	LC	L	depth	middletemporal
LY1	-35.9062	21.7565	-11.5547561050673	6.184	LY	L	depth	lateralorbitofrontal
LY2	-36.1106	23.448	-5.57613123554979	6.184	LY	L	depth	lateralorbitofrontal
LY3	-36.6825	26.0072	-0.878835632599199	6.184	LY	L	depth	insula
LY4	-36.9683	28.2579	4.27112901255915	6.184	LY	L	depth	parsopercularis
LY5	-36.7226	30.1443	10.4345393345873	6.184	LY	L	depth	parstriangularis
LY6	-37.3477	31.9763	15.1193657925001	6.184	LY	L	depth	rostralmiddlefrontal
LY7	-33.6032	35.5492	24.9176994702999	6.184	LY	L	depth	rostralmiddlefrontal
LY8	-32.0917	37.6301	32.7806635155894	6.184	LY	L	depth	rostralmiddlefrontal
LY9	-31.8256	39.8642	37.6749811018577	6.184	LY	L	depth	rostralmiddlefrontal
LY10	-32.5402	43.4537	41.9278012027466	6.184	LY	L	depth	rostralmiddlefrontal
LZ1	-36.0842	0.501907	-5.83876757502622	6.184	LZ	L	depth	insula
LZ2	-37.8539	1.41879	1.10567119812876	6.184	LZ	L	depth	insula
LZ3	-39.0941	3.13926	8.52290263928103	6.184	LZ	L	depth	insula
LZ4	-40.7604	2.81411	15.3910214159591	6.184	LZ	L	depth	postcentral
LZ5	-41.9179	1.71675	22.2345739208627	6.184	LZ	L	depth	precentral
LZ6	-43.3902	1.15543	27.6216936466523	6.184	LZ	L	depth	precentral
LZ7	-44.7906	-0.338038	35.3404637958905	6.184	LZ	L	depth	precentral
LZ8	-45.2698	3.56069	44.3796305591747	6.184	LZ	L	depth	precentral
LZ9	-46.692	5.45721	53.4124057310953	6.184	LZ	L	depth	precentral
LZ10	-47.4939	5.98382	60.6983996708937	6.184	LZ	L	depth	precentral
LT1	-50.1755	3.73323	-9.69822434342893	6.184	LT	L	depth	superiortemporal
LT2	-52.2004	3.72889	-9.23666245029313	6.184	LT	L	depth	superiortemporal
LT3	-55.005	3.67088	-6.72584165417829	6.184	LT	L	depth	superiortemporal
LT4	-56.4725	4.46039	-6.05319022442918	6.184	LT	L	depth	superiortemporal
LT5	-59.1645	4.00915	-5.90895109660662	6.184	LT	L	depth	superiortemporal
LT6	-63.4362	3.69086	-5.5964661833232	6.184	LT	L	depth	superiortemporal
LT7	-67.0246	2.48972	-5.45320296750155	6.184	LT	L	depth	superiortemporal
LT8	-68.7115	2.20281	-5.2890271988813	6.184	LT	L	depth	superiortemporal
LT9	-70.6219	1.5379	-5.16935866756723	6.184	LT	L	depth	superiortemporal
LT10	-75.2525	1.532	-3.9467202571566	6.184	LT	L	depth	superiortemporal
LH1	-49.8815	-10.9862	1.87992017306092	6.184	LH	L	depth	transversetemporal
LH2	-54.0683	-10.7314	2.32285558779485	6.184	LH	L	depth	superiortemporal
LH3	-60.076	-11.772	1.42476241015822	6.184	LH	L	depth	superiortemporal
LH4	-67.2936	-12.2504	0.763942148103037	6.184	LH	L	depth	superiortemporal
