name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
Ri1	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri2	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri3	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri4	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri5	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri6	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri7	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri8	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri9	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri10	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri11	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri12	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri13	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri14	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Ri15	SEEG	V	n/a	n/a	Ri	2000	depth	n/a
Rj1	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj2	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj3	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj4	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj5	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj6	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj7	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj8	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj9	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj10	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj11	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj12	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj13	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj14	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rj15	SEEG	V	n/a	n/a	Rj	2000	depth	n/a
Rk1	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk2	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk3	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk4	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk5	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk6	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk7	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
Rk8	SEEG	V	n/a	n/a	Rk	2000	depth	n/a
RA1	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA2	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA3	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA4	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA5	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA6	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA7	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA8	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA9	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RA10	SEEG	V	n/a	n/a	RA	2000	depth	n/a
RC1	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC2	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC3	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC4	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC5	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC6	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC7	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC8	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC9	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC10	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC11	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RC12	SEEG	V	n/a	n/a	RC	2000	depth	n/a
RB1	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB2	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB3	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB4	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB5	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB6	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB7	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB8	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB9	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RB10	SEEG	V	n/a	n/a	RB	2000	depth	n/a
RWA1	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA2	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA3	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA4	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA5	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA6	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA7	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWA8	SEEG	V	n/a	n/a	RWA	2000	depth	n/a
RWB1	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWB2	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWB3	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWB4	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
RWB5	SEEG	V	n/a	n/a	RWB	2000	depth	n/a
