name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LOFD1	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD2	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD3	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD4	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD5	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD6	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD7	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD8	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD9	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD10	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD11	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD12	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD13	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD14	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD15	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LOFD16	SEEG	V	n/a	n/a	LOFD	512	depth	n/a
LCD1	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD2	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD3	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD4	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD5	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD6	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD7	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD8	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD9	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD10	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD11	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LCD12	SEEG	V	n/a	n/a	LCD	512	depth	n/a
LID1	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID2	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID3	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID4	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID5	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID6	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID7	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID8	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID9	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID10	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID11	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID12	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID13	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID14	SEEG	V	n/a	n/a	LID	512	depth	n/a
LID15	SEEG	V	n/a	n/a	LID	512	depth	n/a
RID1	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID2	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID3	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID4	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID5	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID6	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID7	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID8	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID9	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID10	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID11	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID12	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID13	SEEG	V	n/a	n/a	RID	512	depth	n/a
RID14	SEEG	V	n/a	n/a	RID	512	depth	n/a
RAD1	SEEG	V	n/a	n/a	RAD	512	depth	n/a
RAD2	SEEG	V	n/a	n/a	RAD	512	depth	n/a
RAD3	SEEG	V	n/a	n/a	RAD	512	depth	n/a
RAD4	SEEG	V	n/a	n/a	RAD	512	depth	n/a
RAD5	SEEG	V	n/a	n/a	RAD	512	depth	n/a
RAD6	SEEG	V	n/a	n/a	RAD	512	depth	n/a
RAD7	SEEG	V	n/a	n/a	RAD	512	depth	n/a
