name	x	y	z	size	group	hemisphere	type	ind.region
A'1	-21.3459	-5.47921	-14.5614300053268	-999	A	L	depth	insula
A'2	-25.0666	-5.17485	-13.7929744304482	-999	A	L	depth	insula
A'3	-28.8898	-5.64718	-14.1636479530896	-999	A	L	depth	insula
A'4	-32.055	-4.91637	-15.0983436667765	-999	A	L	depth	insula
A'5	-36.1963	-3.65495	-14.5945368278585	-999	A	L	depth	insula
A'6	-40.2401	-3.61203	-14.6928932843711	-999	A	L	depth	superiortemporal
A'7	-43.0813	-3.5539	-14.689857145999	-999	A	L	depth	superiortemporal
A'8	-46.2209	-4.13545	-14.8040148370091	-999	A	L	depth	superiortemporal
A'9	-50.4293	-4.5879	-15.7690867975452	-999	A	L	depth	superiortemporal
A'10	-56.8729	-6.15478	-16.3934708475379	-999	A	L	depth	superiortemporal
A'11	-63.1858	-7.02024	-17.9484206489895	-999	A	L	depth	middletemporal
A'12	-66.8818	-7.69359	-17.3950271848296	-999	A	L	depth	middletemporal
B'1	-28.5682	-20.3157	-14.9637009266761	-999	B	L	depth	insula
B'2	-32.1796	-20.0939	-15.662314247607	-999	B	L	depth	insula
B'3	-36.4292	-20.0958	-15.3492582542387	-999	B	L	depth	insula
B'4	-40.1448	-20.3432	-15.3615886238924	-999	B	L	depth	insula
B'5	-44.0108	-20.1266	-15.492799981896	-999	B	L	depth	insula
B'6	-47.6726	-19.9225	-14.7350870434147	-999	B	L	depth	superiortemporal
B'7	-50.9606	-19.6102	-15.4605836316884	-999	B	L	depth	middletemporal
B'8	-55.4316	-19.7228	-16.2441222939855	-999	B	L	depth	middletemporal
B'9	-60.6376	-20.3242	-18.2075530608394	-999	B	L	depth	middletemporal
B'10	-65.3428	-21.202	-19.1404708292639	-999	B	L	depth	middletemporal
B'11	-68.7572	-21.2448	-18.816147073553	-999	B	L	depth	middletemporal
B'12	-72.0662	-21.2178	-17.1384744713821	-999	B	L	depth	inferiortemporal
C'1	-24.5323	-13.4238	-15.6358706067675	-999	C	L	depth	insula
C'2	-28.1914	-12.5983	-16.0943625171375	-999	C	L	depth	insula
C'3	-31.9736	-12.5935	-17.0200709723943	-999	C	L	depth	insula
C'4	-36.0044	-11.8799	-17.3244107272368	-999	C	L	depth	insula
C'5	-39.8518	-11.578	-17.842598202225	-999	C	L	depth	insula
C'6	-42.7211	-11.7469	-18.0798839287255	-999	C	L	depth	insula
C'7	-45.6271	-12.575	-18.4737631007961	-999	C	L	depth	superiortemporal
C'8	-49.4755	-12.6672	-18.9652336849671	-999	C	L	depth	superiortemporal
C'9	-53.8235	-12.9746	-19.7072090452717	-999	C	L	depth	middletemporal
C'10	-58.6101	-13.5397	-20.1339421098108	-999	C	L	depth	middletemporal
C'11	-62.9119	-13.5262	-19.6851715533102	-999	C	L	depth	middletemporal
C'12	-67.7858	-13.6853	-19.6733216132376	-999	C	L	depth	middletemporal
E'1	-29.7388	9.10863	-47.058647310377	-999	E	L	depth	temporalpole
E'2	-32.6849	9.14348	-44.8212884939289	-999	E	L	depth	temporalpole
E'3	-39.0547	13.0551	-40.6129044828747	-999	E	L	depth	temporalpole
E'4	-44.0481	16.5862	-37.3684312887685	-999	E	L	depth	temporalpole
E'5	-45.7435	17.1381	-34.1399840492486	-999	E	L	depth	temporalpole
E'6	-46.2539	17.3212	-28.9570400391206	-999	E	L	depth	temporalpole
E'7	-47.6727	15.786	-24.0447786166352	-999	E	L	depth	superiortemporal
E'8	-51.1328	15.7619	-21.8434366831882	-999	E	L	depth	superiortemporal
E'9	-54.7172	16.1783	-20.620360541573	-999	E	L	depth	superiortemporal
E'10	-57.7305	16.1235	-18.4849865001236	-999	E	L	depth	superiortemporal
F'1	-30.5196	-54.3521	-15.2388482324399	-999	F	L	depth	fusiform
F'2	-34.0798	-55.0329	-15.9493799912735	-999	F	L	depth	fusiform
F'3	-37.2735	-55.9425	-16.4532250209	-999	F	L	depth	fusiform
F'4	-40.7379	-56.7464	-16.3354744317787	-999	F	L	depth	fusiform
F'5	-45.1611	-56.2921	-15.0841136702848	-999	F	L	depth	fusiform
F'6	-50.2185	-54.7354	-13.9122775304021	-999	F	L	depth	inferiortemporal
F'7	-54.2518	-52.8642	-13.8412518644778	-999	F	L	depth	inferiortemporal
F'8	-58.1538	-51.1805	-12.1125776660541	-999	F	L	depth	inferiortemporal
F'9	-60.875	-50.9737	-10.9982591915632	-999	F	L	depth	inferiortemporal
