name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LOFCD10-LOFCD11	SEEG	V	n/a	n/a	bipolar	LOFCD	512	depth	n/a
LOFCD11-LOFCD12	SEEG	V	n/a	n/a	bipolar	LOFCD	512	depth	n/a
LOFCD12-LOFCD13	SEEG	V	n/a	n/a	bipolar	LOFCD	512	depth	n/a
LOFCD13-LOFCD14	SEEG	V	n/a	n/a	bipolar	LOFCD	512	depth	n/a
LOFCD14-LOFCD15	SEEG	V	n/a	n/a	bipolar	LOFCD	512	depth	n/a
LOFCD15-LOFCD16	SEEG	V	n/a	n/a	bipolar	LOFCD	512	depth	n/a
LACD10-LACD11	SEEG	V	n/a	n/a	bipolar	LACD	512	depth	n/a
LACD11-LACD12	SEEG	V	n/a	n/a	bipolar	LACD	512	depth	n/a
LACD12-LACD13	SEEG	V	n/a	n/a	bipolar	LACD	512	depth	n/a
LACD13-LACD14	SEEG	V	n/a	n/a	bipolar	LACD	512	depth	n/a
LMCD10-LMCD11	SEEG	V	n/a	n/a	bipolar	LMCD	512	depth	n/a
LMCD11-LMCD12	SEEG	V	n/a	n/a	bipolar	LMCD	512	depth	n/a
LMCD12-LMCD13	SEEG	V	n/a	n/a	bipolar	LMCD	512	depth	n/a
LMCD13-LMCD14	SEEG	V	n/a	n/a	bipolar	LMCD	512	depth	n/a
LMCD14-LMCD15	SEEG	V	n/a	n/a	bipolar	LMCD	512	depth	n/a
LMCD15-LMCD16	SEEG	V	n/a	n/a	bipolar	LMCD	512	depth	n/a
LID10-LID11	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID11-LID12	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID12-LID13	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID13-LID14	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID14-LID15	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LID15-LID16	SEEG	V	n/a	n/a	bipolar	LID	512	depth	n/a
LAD10-LAD11	SEEG	V	n/a	n/a	bipolar	LAD	512	depth	n/a
LAD11-LAD12	SEEG	V	n/a	n/a	bipolar	LAD	512	depth	n/a
LHCD10-LHCD11	SEEG	V	n/a	n/a	bipolar	LHCD	512	depth	n/a
LHCD11-LHCD12	SEEG	V	n/a	n/a	bipolar	LHCD	512	depth	n/a
LHCD12-LHCD13	SEEG	V	n/a	n/a	bipolar	LHCD	512	depth	n/a
LHCD13-LHCD14	SEEG	V	n/a	n/a	bipolar	LHCD	512	depth	n/a
ROFCD10-ROFCD11	SEEG	V	n/a	n/a	bipolar	ROFCD	512	depth	n/a
ROFCD11-ROFCD12	SEEG	V	n/a	n/a	bipolar	ROFCD	512	depth	n/a
ROFCD12-ROFCD13	SEEG	V	n/a	n/a	bipolar	ROFCD	512	depth	n/a
ROFCD13-ROFCD14	SEEG	V	n/a	n/a	bipolar	ROFCD	512	depth	n/a
ROFCD14-ROFCD15	SEEG	V	n/a	n/a	bipolar	ROFCD	512	depth	n/a
ROFCD15-ROFCD16	SEEG	V	n/a	n/a	bipolar	ROFCD	512	depth	n/a
RCD10-RCD11	SEEG	V	n/a	n/a	bipolar	RCD	512	depth	n/a
RCD11-RCD12	SEEG	V	n/a	n/a	bipolar	RCD	512	depth	n/a
RCD12-RCD13	SEEG	V	n/a	n/a	bipolar	RCD	512	depth	n/a
RCD13-RCD14	SEEG	V	n/a	n/a	bipolar	RCD	512	depth	n/a
LPHGD10-LPHGD11	SEEG	V	n/a	n/a	bipolar	LPHGD	512	depth	n/a
LPHGD11-LPHGD12	SEEG	V	n/a	n/a	bipolar	LPHGD	512	depth	n/a
LPHGD12-LPHGD13	SEEG	V	n/a	n/a	bipolar	LPHGD	512	depth	n/a
LPHGD13-LPHGD14	SEEG	V	n/a	n/a	bipolar	LPHGD	512	depth	n/a
LPHGD14-LPHGD15	SEEG	V	n/a	n/a	bipolar	LPHGD	512	depth	n/a
LPHGD15-LPHGD16	SEEG	V	n/a	n/a	bipolar	LPHGD	512	depth	n/a
