name	x	y	z	size	group	hemisphere	type	ind.region
LOFCD10	-25.1178	39.784	-6.83950034654752	-999	LOFCD	L	depth	lateralorbitofrontal
LOFCD11	-28.3767	39.8654	-4.59441848319181	-999	LOFCD	L	depth	lateralorbitofrontal
LOFCD12	-33.1429	39.595	-1.19054692383088	-999	LOFCD	L	depth	rostralmiddlefrontal
LOFCD13	-38.3587	39.5563	3.17072214090146	-999	LOFCD	L	depth	rostralmiddlefrontal
LOFCD14	-40.854	40.4681	6.12227426990029	-999	LOFCD	L	depth	rostralmiddlefrontal
LOFCD15	-43.8227	40.6651	9.85163554830941	-999	LOFCD	L	depth	rostralmiddlefrontal
LOFCD16	-45.6062	41.5916	11.6896587841751	-999	LOFCD	L	depth	rostralmiddlefrontal
LACD10	-41.9816	36.1222	18.3642130684479	-999	LACD	L	depth	rostralmiddlefrontal
LACD11	-44.8745	36.3722	20.5736266672334	-999	LACD	L	depth	rostralmiddlefrontal
LACD12	-47.8911	37.4202	22.8905725480928	-999	LACD	L	depth	rostralmiddlefrontal
LACD13	-50.1963	39.4541	24.6794925081481	-999	LACD	L	depth	rostralmiddlefrontal
LACD14	-52.7378	39.6551	26.2013752192617	-999	LACD	L	depth	rostralmiddlefrontal
LMCD10	-34.8931	23.9821	30.320320099076	-999	LMCD	L	depth	rostralmiddlefrontal
LMCD11	-38.7044	24.546	32.6127890369027	-999	LMCD	L	depth	rostralmiddlefrontal
LMCD12	-43.3083	24.8005	32.8450664796839	-999	LMCD	L	depth	rostralmiddlefrontal
LMCD13	-47.5839	24.7204	33.1437427135914	-999	LMCD	L	depth	rostralmiddlefrontal
LMCD14	-52.3593	25.094	31.4506578668737	-999	LMCD	L	depth	rostralmiddlefrontal
LMCD15	-57.4229	25.1954	30.0011476695708	-999	LMCD	L	depth	rostralmiddlefrontal
LMCD16	-61.2343	26.3756	29.5696047774224	-999	LMCD	L	depth	parsopercularis
LID10	-22.5785	19.2171	46.689764253017	-999	LID	L	depth	superiorfrontal
LID11	-22.1856	22.165	51.9147478028836	-999	LID	L	depth	superiorfrontal
LID12	-21.0917	23.3386	56.4821740890014	-999	LID	L	depth	superiorfrontal
LID13	-21.8051	22.4319	61.4191938076977	-999	LID	L	depth	superiorfrontal
LID14	-21.8369	20.0758	65.554306330786	-999	LID	L	depth	superiorfrontal
LID15	-21.7637	19.3357	67.5980510844462	-999	LID	L	depth	superiorfrontal
LID16	-20.5161	18.4105	74.1634514047091	-999	LID	L	depth	superiorfrontal
LAD10	-49.6801	10.8189	-31.1733717474123	-999	LAD	L	depth	middletemporal
LAD11	-53.8157	13.6744	-31.5652948796797	-999	LAD	L	depth	middletemporal
LAD12	-57.3495	15.1935	-32.2152907779996	-999	LAD	L	depth	middletemporal
LHCD10	-47.6237	-16.1278	-23.3102889802356	-999	LHCD	L	depth	inferiortemporal
LHCD11	-51.6045	-17.5133	-24.020540331932	-999	LHCD	L	depth	inferiortemporal
LHCD12	-56.618	-18.5472	-24.5344335430046	-999	LHCD	L	depth	inferiortemporal
LHCD13	-62.4152	-20.022	-23.0215090966211	-999	LHCD	L	depth	middletemporal
LHCD14	-66.8984	-21.6916	-21.9408185613581	-999	LHCD	L	depth	middletemporal
LATD10	-63.9443	9.82327	-26.5354345631715	-999	LATD	L	depth	middletemporal
LPTD10	-68.3203	-3.7167	-18.5173995139263	-999	LPTD	L	depth	middletemporal
ROFCD10	27.9839	35.6364	-3.78615676936776	-999	ROFCD	R	depth	lateralorbitofrontal
ROFCD11	30.7604	35.6198	-1.77439502095559	-999	ROFCD	R	depth	parstriangularis
ROFCD12	33.8488	35.8066	0.498494620442601	-999	ROFCD	R	depth	parstriangularis
ROFCD13	38.5199	34.3277	5.12906397741789	-999	ROFCD	R	depth	parstriangularis
ROFCD14	41.8091	33.1041	7.28716160721726	-999	ROFCD	R	depth	parstriangularis
ROFCD15	44.8246	32.3711	10.3114550313546	-999	ROFCD	R	depth	parstriangularis
ROFCD16	47.4081	31.7096	16.7108008250885	-999	ROFCD	R	depth	parstriangularis
RCD10	39.7506	27.0229	5.91394038329857	-999	RCD	R	depth	parstriangularis
RCD11	44.4154	24.5514	8.51747713651972	-999	RCD	R	depth	parstriangularis
RCD12	48.6593	24.1706	11.6061987866973	-999	RCD	R	depth	parstriangularis
RCD13	53.5211	25.1595	13.7755558536939	-999	RCD	R	depth	parstriangularis
RCD14	58.1639	25.8855	13.9373879452796	-999	RCD	R	depth	parstriangularis
LPHGD10	-47.1112	15.0293	-23.9378006929477	-999	LPHGD	L	depth	superiortemporal
LPHGD11	-50.3535	16.6884	-22.7995432734228	-999	LPHGD	L	depth	superiortemporal
LPHGD12	-54.3241	19.442	-21.3265268916036	-999	LPHGD	L	depth	superiortemporal
LPHGD13	-56.4674	21.5297	-20.6814505335097	-999	LPHGD	L	depth	superiortemporal
LPHGD14	-58.7472	22.8839	-18.8861119037877	-999	LPHGD	L	depth	superiortemporal
LPHGD15	-62.3127	25.1927	-16.6221095951043	-999	LPHGD	L	depth	superiortemporal
LPHGD16	-64.8306	27.5606	-15.6424323787929	-999	LPHGD	L	depth	superiortemporal
