name	x	y	z	size	group	hemisphere	type	ind.region
LP1	-38.7934	-31.5962	26.1481378334231	5.024	LP	L	depth	supramarginal
LP2	-41.0701	-31.2411	27.4016442908565	5.024	LP	L	depth	supramarginal
LP3	-43.8224	-30.6636	28.95452358094	5.024	LP	L	depth	supramarginal
LP4	-46.0005	-30.4903	31.5946429121715	5.024	LP	L	depth	supramarginal
LP5	-48.4542	-30.7157	35.994277403998	5.024	LP	L	depth	supramarginal
LP6	-50.8485	-30.7711	39.2546870691827	5.024	LP	L	depth	supramarginal
LP7	-52.8639	-31.1183	43.628594506037	5.024	LP	L	depth	supramarginal
LP8	-55.7501	-31.9683	47.6634589703	5.024	LP	L	depth	supramarginal
LFB1	-6.53149	25.6209	-13.9791787795481	5.024	LFB	L	depth	rostralanteriorcingulate
LFB2	-9.88695	27.139	-12.4921464300181	5.024	LFB	L	depth	lateralorbitofrontal
LFB3	-12.9299	26.8272	-11.3645400482858	5.024	LFB	L	depth	lateralorbitofrontal
LFB4	-16.658	27.8732	-10.3703669346403	5.024	LFB	L	depth	lateralorbitofrontal
LFB5	-19.7978	29.0197	-9.70732181462381	5.024	LFB	L	depth	lateralorbitofrontal
LFB6	-22.5747	30.0363	-8.59088309320679	5.024	LFB	L	depth	lateralorbitofrontal
LFB7	-27.3337	29.0061	-7.2529560539185	5.024	LFB	L	depth	lateralorbitofrontal
LFB8	-31.033	29.9113	-6.59834122663015	5.024	LFB	L	depth	lateralorbitofrontal
LFB9	-34.7038	31.611	-5.96368929504494	5.024	LFB	L	depth	lateralorbitofrontal
LFB10	-39.41	33.2838	-5.27126807258264	5.024	LFB	L	depth	lateralorbitofrontal
LFB11	-42.8159	33.2286	-3.37902064699019	5.024	LFB	L	depth	parstriangularis
LFB12	-45.4003	35.2734	-3.0118892449664	5.024	LFB	L	depth	parstriangularis
LFB13	-49.112	37.5515	-1.83102907847633	5.024	LFB	L	depth	parstriangularis
LFB14	-52.3933	40.2407	-1.14866770000504	5.024	LFB	L	depth	parstriangularis
LFB15	-56.5084	42.9308	0.125945974769383	5.024	LFB	L	depth	parstriangularis
RA1	36.1259	6.78821	-4.3695851122185	5.024	RA	R	depth	insula
RA2	36.5305	3.74242	-0.993038526185278	5.024	RA	R	depth	insula
RA3	36.5255	2.45212	1.85713562553519	5.024	RA	R	depth	insula
RA4	36.1256	0.918183	5.27164301923664	5.024	RA	R	depth	insula
RA5	36.1431	-0.740717	8.49913869710762	5.024	RA	R	depth	insula
RA6	36.0849	-3.31714	11.7842515844994	5.024	RA	R	depth	insula
RA7	34.2261	-5.67447	14.939558996893	5.024	RA	R	depth	insula
RA8	33.7528	-8.49747	18.4888114620539	5.024	RA	R	depth	insula
RA9	34.3851	-11.4007	22.3344437463897	5.024	RA	R	depth	insula
RA10	33.8562	-13.9071	25.059641943382	5.024	RA	R	depth	insula
RA11	34.6219	-19.1766	27.7224012071355	5.024	RA	R	depth	supramarginal
RA12	34.05	-18.8782	30.8372780120798	5.024	RA	R	depth	supramarginal
RA13	32.7209	-20.9532	36.1057115712242	5.024	RA	R	depth	supramarginal
RA14	32.4502	-22.9582	39.547782307012	5.024	RA	R	depth	supramarginal
RA15	31.3029	-23.8488	43.7395078662915	5.024	RA	R	depth	supramarginal
RA16	29.7321	-24.1636	48.4541077633923	5.024	RA	R	depth	supramarginal
RA17	27.4391	-25.7193	51.6533539582669	5.024	RA	R	depth	postcentral
RA18	24.3652	-27.0457	54.546106955854	5.024	RA	R	depth	postcentral
RFB1	3.71767	29.2844	-13.4348204857912	5.024	RFB	R	depth	medialorbitofrontal
RFB2	8.66918	29.1841	-11.479977299514	5.024	RFB	R	depth	medialorbitofrontal
RFB3	12.4044	31.6824	-11.0628140749896	5.024	RFB	R	depth	medialorbitofrontal
RFB4	15.1842	32.3405	-9.73557118282414	5.024	RFB	R	depth	lateralorbitofrontal
RFB5	17.7537	35.5919	-9.67198209742554	5.024	RFB	R	depth	lateralorbitofrontal
RFB6	20.3657	36.5029	-8.84620524040667	5.024	RFB	R	depth	lateralorbitofrontal
RFB7	23.6687	38.8933	-8.68993899211561	5.024	RFB	R	depth	lateralorbitofrontal
RFB8	27.419	38.664	-7.49843897783377	5.024	RFB	R	depth	lateralorbitofrontal
RFB9	31.7513	39.1472	-5.11541829191609	5.024	RFB	R	depth	parsorbitalis
RFB10	35.6611	41.4844	-4.29460960144267	5.024	RFB	R	depth	rostralmiddlefrontal
RFB11	39.4728	42.2418	-2.11765491158255	5.024	RFB	R	depth	rostralmiddlefrontal
RFB12	43.3658	43.7443	-1.54970390290071	5.024	RFB	R	depth	parstriangularis
RMTP1	30.4135	-30.1323	-12.7124668836009	5.024	RMTP	R	depth	fusiform
RMTP2	33.8195	-30.0735	-12.4466815232195	5.024	RMTP	R	depth	fusiform
RMTP3	38.7541	-28.797	-11.2199269402454	5.024	RMTP	R	depth	fusiform
RMTP4	42.1353	-27.5176	-10.456438146013	5.024	RMTP	R	depth	fusiform
RMTP5	48.7615	-28.1242	-6.40101479640454	5.024	RMTP	R	depth	superiortemporal
RMTP6	53.5872	-27.75	-4.57192910011607	5.024	RMTP	R	depth	superiortemporal
RMTP7	59.4282	-27.6888	-3.61564806982986	5.024	RMTP	R	depth	middletemporal
RMTP8	66.4705	-26.324	-1.93060309963847	5.024	RMTP	R	depth	middletemporal
RSTM1	36.0924	-15.1414	-3.95393368737293	5.024	RSTM	R	depth	superiortemporal
RSTM2	39.5314	-17.0878	-3.56179562355374	5.024	RSTM	R	depth	superiortemporal
RSTM3	41.7053	-16.6519	-3.69449529457424	5.024	RSTM	R	depth	superiortemporal
RSTM4	44.7564	-20.5852	-1.98702412444823	5.024	RSTM	R	depth	superiortemporal
RSTM5	47.4454	-22.3227	-0.542476357134635	5.024	RSTM	R	depth	superiortemporal
RSTM6	53.656	-25.9863	0.0695050457385156	5.024	RSTM	R	depth	superiortemporal
RSTM7	58.2688	-28.0628	0.726588361207532	5.024	RSTM	R	depth	superiortemporal
RSTM8	63.7102	-26.1851	1.92435143993548	5.024	RSTM	R	depth	superiortemporal
RSTP1	33.0898	-26.1289	18.113540902432	5.024	RSTP	R	depth	supramarginal
RSTP2	35.1507	-27.5621	15.7431570586093	5.024	RSTP	R	depth	supramarginal
RSTP3	37.0344	-27.3043	14.2416355649235	5.024	RSTP	R	depth	transversetemporal
RSTP4	39.0541	-29.7885	11.8641433193639	5.024	RSTP	R	depth	superiortemporal
RSTP5	41.3778	-31.7382	10.6677066021309	5.024	RSTP	R	depth	superiortemporal
RSTP6	44.2582	-33.4921	10.7009668442924	5.024	RSTP	R	depth	superiortemporal
RSTP7	46.0043	-32.6161	10.160380920374	5.024	RSTP	R	depth	superiortemporal
RSTP8	48.613	-34.2138	10.355313362321	5.024	RSTP	R	depth	superiortemporal
RSTP9	52.6216	-36.3542	10.1144616552771	5.024	RSTP	R	depth	superiortemporal
RSTP10	58.0506	-34.6416	9.8684931448312	5.024	RSTP	R	depth	superiortemporal
RSTP11	64.9928	-37.1136	8.66105134846732	5.024	RSTP	R	depth	superiortemporal
RSTP12	71.0807	-39.4892	7.69801599443738	5.024	RSTP	R	depth	superiortemporal
RSFG1	41.9491	-38.9479	28.1540443070154	5.024	RSFG	R	depth	supramarginal
RSFG2	38.7865	-40.1721	37.3622709298761	5.024	RSFG	R	depth	supramarginal
RSFG3	35.5593	-40.5562	41.1101866271814	5.024	RSFG	R	depth	supramarginal
RSFG4	31.2646	-43.5111	43.9918206276108	5.024	RSFG	R	depth	inferiorparietal
RSFG5	26.9813	-46.5238	47.0738132380615	5.024	RSFG	R	depth	inferiorparietal
RSFG6	23.8516	-52.6385	49.262345433338	5.024	RSFG	R	depth	inferiorparietal
RSFG7	21.74	-54.6503	50.6460762667631	5.024	RSFG	R	depth	inferiorparietal
RSFG8	18.9559	-59.3136	53.3458285514554	5.024	RSFG	R	depth	superiorparietal
RMFG1	27.8328	19.349	28.1274545674975	5.024	RMFG	R	depth	caudalmiddlefrontal
RMFG2	30.7155	23.6588	32.1490079600123	5.024	RMFG	R	depth	caudalmiddlefrontal
RMFG3	34.0251	25.4239	34.6348809770468	5.024	RMFG	R	depth	caudalmiddlefrontal
RMFG4	37.2484	29.6595	36.9846942637435	5.024	RMFG	R	depth	caudalmiddlefrontal
RMFG5	40.4926	30.5618	38.1190328660514	5.024	RMFG	R	depth	caudalmiddlefrontal
RPB1	11.3817	33.3002	22.8627229839485	5.024	RPB	R	depth	caudalanteriorcingulate
RPB2	14.3968	33.0038	25.1071248754645	5.024	RPB	R	depth	caudalanteriorcingulate
RPB3	15.0057	33.3081	28.2952484868784	5.024	RPB	R	depth	superiorfrontal
RPB4	15.2624	33.3542	28.8413937878619	5.024	RPB	R	depth	superiorfrontal
RPB6	16.667	31.3097	36.3973056400394	5.024	RPB	R	depth	superiorfrontal
RPB7	19.5395	31.7379	39.9719415198084	5.024	RPB	R	depth	superiorfrontal
RPB8	22.0773	32.632	42.2044419024751	5.024	RPB	R	depth	superiorfrontal
RPB9	24.6215	33.7198	44.6048039058431	5.024	RPB	R	depth	superiorfrontal
RPB10	25.8308	34.3995	46.9076285582689	5.024	RPB	R	depth	caudalmiddlefrontal
RPB11	29.9008	36.5096	53.9395416604106	5.024	RPB	R	depth	caudalmiddlefrontal
RPB12	30.5861	36.6464	54.6043680846236	5.024	RPB	R	depth	caudalmiddlefrontal
RPLG1	37.0048	10.0234	-10.2635780681853	5.024	RPLG	R	depth	insula
RPLG2	36.2448	10.4057	-7.20197358071865	5.024	RPLG	R	depth	insula
RPLG3	36.0748	10.7775	-4.33312497488122	5.024	RPLG	R	depth	insula
RPLG4	34.7604	8.15794	5.10313836935002	5.024	RPLG	R	depth	insula
RPLG5	32.9358	8.84938	9.02360461331503	5.024	RPLG	R	depth	insula
RPLG6	31.5471	6.60626	15.7827204799981	5.024	RPLG	R	depth	precentral
RPLG7	30.6041	6.57572	19.5127207327426	5.024	RPLG	R	depth	precentral
RPLG8	29.5238	6.75962	22.0345989248551	5.024	RPLG	R	depth	caudalmiddlefrontal
RPLG9	26.5909	7.19235	36.1249882721249	5.024	RPLG	R	depth	precentral
RPLG10	25.5793	7.95082	39.320773009017	5.024	RPLG	R	depth	precentral
RPLG11	24.2487	9.04887	43.6878198761993	5.024	RPLG	R	depth	precentral
RPLG12	21.473	6.58602	50.4320109940457	5.024	RPLG	R	depth	precentral
RPLG13	20.6337	6.82244	53.8153268592806	5.024	RPLG	R	depth	precentral
RPLG14	19.4648	6.87968	57.3864173428633	5.024	RPLG	R	depth	precentral
RPLG15	19.122	6.94488	60.0581806874193	5.024	RPLG	R	depth	precentral
RPLG16	22.6334	1.77506	65.4010453044667	5.024	RPLG	R	depth	precentral
RPLG17	24.379	2.01112	70.3059846222494	5.024	RPLG	R	depth	precentral
RPLG18	25.9848	2.33139	74.4132334738495	5.024	RPLG	R	depth	precentral
RPA1	32.4101	-21.9506	22.1108465903686	5.024	RPA	R	depth	supramarginal
RPA2	34.6263	-22.1122	24.3579406403623	5.024	RPA	R	depth	supramarginal
