name	x	y	z	size	group	hemisphere	type	ind.region
LB1	-25.1757	-8.50601	-25.7677750556663	6.184	LB	L	depth	insula
LB2	-28.7473	-9.72237	-27.3308801445068	6.184	LB	L	depth	insula
LB3	-32.757	-11.0355	-28.8206236600625	6.184	LB	L	depth	insula
LB4	-37.3309	-10.472	-27.3898982640633	6.184	LB	L	depth	insula
LB5	-41.2625	-10.2605	-26.4239491952927	6.184	LB	L	depth	insula
LB6	-44.9679	-10.8549	-25.7965270791932	6.184	LB	L	depth	inferiortemporal
LB7	-49.8592	-11.3573	-25.506731560915	6.184	LB	L	depth	inferiortemporal
LB8	-56.1916	-10.9854	-25.4830585552923	6.184	LB	L	depth	middletemporal
LB9	-61.5687	-10.5293	-25.2145941066631	6.184	LB	L	depth	middletemporal
LB10	-65.9815	-11.05	-25.4458617162208	6.184	LB	L	depth	middletemporal
LI1	-21.373	-0.389006	-34.5101360654807	6.184	LI	L	depth	entorhinal
LI2	-23.9688	-0.213843	-35.1611455873023	6.184	LI	L	depth	entorhinal
LI3	-26.8859	0.0183716	-34.4858974141729	6.184	LI	L	depth	entorhinal
LI4	-29.8797	0.206303	-33.8942442046257	6.184	LI	L	depth	fusiform
LI5	-34.0775	0.0526641	-34.3817198239083	6.184	LI	L	depth	fusiform
LI6	-41.5859	1.7592	-31.478967015608	6.184	LI	L	depth	inferiortemporal
LI7	-46.4926	3.3028	-29.8957909160804	6.184	LI	L	depth	inferiortemporal
LI8	-51.6967	4.02483	-29.4635702280356	6.184	LI	L	depth	middletemporal
LI9	-56.8239	3.60123	-31.2460104115598	6.184	LI	L	depth	middletemporal
LI10	-62.3881	2.7984	-31.8148961407477	6.184	LI	L	depth	middletemporal
LO1	-2.04316	37.9636	-18.0933604970515	5.024	LO	L	depth	medialorbitofrontal
LO2	-6.02702	38.1395	-15.6797644283976	5.024	LO	L	depth	medialorbitofrontal
LO3	-11.8192	38.3657	-16.1748190894016	5.024	LO	L	depth	medialorbitofrontal
LO4	-16.3607	38.4491	-15.4739000390528	5.024	LO	L	depth	lateralorbitofrontal
LO5	-20.3581	37.9396	-15.8354536161758	5.024	LO	L	depth	lateralorbitofrontal
LO6	-25.1637	37.9845	-15.7320975332303	5.024	LO	L	depth	lateralorbitofrontal
LO7	-30.0785	39.5396	-15.7879485824744	5.024	LO	L	depth	lateralorbitofrontal
LO8	-34.5658	39.7188	-15.3075670045583	5.024	LO	L	depth	parsorbitalis
LO9	-40.4119	40.0523	-14.6412830288679	5.024	LO	L	depth	parsorbitalis
LO10	-46.351	41.2696	-14.2803158321818	5.024	LO	L	depth	parsorbitalis
LO11	-50.741	42.0366	-13.5748785294614	5.024	LO	L	depth	parsorbitalis
LQ1	-3.06921	35.3942	12.5179664422067	5.024	LQ	L	depth	rostralanteriorcingulate
LQ2	-5.56933	35.5003	13.3386682822419	5.024	LQ	L	depth	rostralanteriorcingulate
LQ3	-9.36317	35.4264	13.9064349675608	5.024	LQ	L	depth	rostralanteriorcingulate
